date,price,index_name,ticker,source
2018-12-12,11001.3603515625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-13,11061.98046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-14,11077.830078125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-17,11167.5400390625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-18,11191.41015625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-19,11265.9599609375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-20,11248.7197265625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-21,11047.6904296875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-24,10958.98046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-26,11015.490234375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-27,11059.1904296875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-28,11152.400390625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2018-12-31,11161.01953125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-02,11079.009765625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-03,10961.26953125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-04,11015.740234375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-07,11048.400390625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-08,11081.3603515625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-09,11128.5703125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-10,11110.0302734375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-11,11079.830078125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-14,11027.2998046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-15,11165.9697265625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-16,11169.2900390625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-17,11180.599609375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-18,11165.66015625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-21,11199.759765625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-22,11174.48046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-23,11092.1201171875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-24,11101.580078125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-25,11020.48046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-28,10886.1103515625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-29,10883.1298828125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-30,10876.6201171875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-01-31,11054.8203125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-01,11120.919921875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-04,11121.5302734375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-05,11124.91015625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-06,11242.7099609375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-07,11271.259765625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-08,11129.9697265625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-11,11060.9296875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-12,11001.240234375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-14,10920.23046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-15,10870.1103515625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-18,10778.2197265625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-19,10753.9296875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-20,10884.7001953125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-21,10944.009765625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-22,10959.3095703125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-25,11052.6796875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-26,11005.080078125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-27,10985.2998046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-02-28,10988.6904296875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-01,11060.2099609375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-05,11199.7998046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-06,11263.1201171875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-07,11266.0498046875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-08,11246.3603515625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-11,11397.1796875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-12,11519.580078125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-13,11553.1201171875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-14,11551.66015625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-15,11620.080078125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-18,11644.4697265625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-19,11717.5,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-20,11701.2197265625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-22,11630.8095703125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-25,11529.259765625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-26,11648.419921875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-27,11617.8095703125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-03-28,11743.1103515625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-04-01,11859.5,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-04-02,11886.4697265625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-04-03,11824.259765625,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-04-04,11783.6298828125,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-04-05,11845.8896484375,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
2019-04-08,11784.1796875,BSE 100,BSE-100.BO,"Yahoo Finance (Price Index, NOT TRI)"
